维度	分类名	条数	文件
10musume	10musume	720	按分类/10musume/10musume.txt
1pondo	1pondo	720	按分类/1pondo/1pondo.txt
ara	ara	552	按分类/ara/ara.txt
caribbeancom	caribbeancom	717	按分类/caribbeancom/caribbeancom.txt
caribbeancompr	caribbeancompr	720	按分类/caribbeancompr/caribbeancompr.txt
clive	clive	720	按分类/clive/clive.txt
dm339	dm339	92	按分类/dm339/dm339.txt
fc2	fc2	634	按分类/fc2/fc2.txt
furuke	furuke	1	按分类/furuke/furuke.txt
gachinco	gachinco	182	按分类/gachinco/gachinco.txt
gana	gana	720	按分类/gana/gana.txt
类型	 女大学生 	1	按分类/类型/女大学生.txt
类型	 女学生 	1	按分类/类型/女学生.txt
类型	 校服 	1	按分类/类型/校服.txt
类型	 耻辱 	3	按分类/类型/耻辱.txt
类型	140公分水平	1	按分类/类型/140公分水平.txt
类型	149厘米	2	按分类/类型/149厘米.txt
类型	150厘米	1	按分类/类型/150厘米.txt
类型	16小时以上	220	按分类/类型/16小时以上.txt
类型	170厘米	1	按分类/类型/170厘米.txt
类型	18岁	7	按分类/类型/18岁.txt
类型	19岁	9	按分类/类型/19岁.txt
类型	2 发	1	按分类/类型/2 发.txt
类型	20多岁	9	按分类/类型/20多岁.txt
类型	20岁	6	按分类/类型/20岁.txt
类型	21岁	2	按分类/类型/21岁.txt
类型	22岁	1	按分类/类型/22岁.txt
类型	27岁	1	按分类/类型/27岁.txt
类型	29岁	1	按分类/类型/29岁.txt
类型	2次发射	2	按分类/类型/2次发射.txt
类型	2次射精	11	按分类/类型/2次射精.txt
类型	30岁	40	按分类/类型/30岁.txt
类型	30年代	31	按分类/类型/30年代.txt
类型	35岁	1	按分类/类型/35岁.txt
类型	3D	49	按分类/类型/3D.txt
类型	3P	23	按分类/类型/3P.txt
类型	3P / 4P	620	按分类/类型/3P _ 4P.txt
类型	3P、4P	706	按分类/类型/3P、4P.txt
类型	4 小时或以上	11	按分类/类型/4 小时或以上.txt
类型	40岁	16	按分类/类型/40岁.txt
类型	48Ne	1	按分类/类型/48Ne.txt
类型	4K	6007	按分类/类型/4K.txt
类型	4K60P	1	按分类/类型/4K60P.txt
类型	4小时以上	5011	按分类/类型/4小时以上.txt
类型	4次射精	1	按分类/类型/4次射精.txt
类型	50分钟	1	按分类/类型/50分钟.txt
类型	50岁	1	按分类/类型/50岁.txt
类型	69	704	按分类/类型/69.txt
类型	8KVR	476	按分类/类型/8KVR.txt
类型	AI生成的作品	167	按分类/类型/AI生成的作品.txt
类型	AV OPEN 2014 中量级	44	按分类/类型/AV OPEN 2014 中量级.txt
类型	AV OPEN 2014 超重量级	12	按分类/类型/AV OPEN 2014 超重量级.txt
类型	AV OPEN 2015 SM 部门	16	按分类/类型/AV OPEN 2015 SM 部门.txt
类型	AV OPEN 2015 企划部门	24	按分类/类型/AV OPEN 2015 企划部门.txt
类型	AV OPEN 2015 女优部门	9	按分类/类型/AV OPEN 2015 女优部门.txt
类型	AV OPEN 2015 少女部门	15	按分类/类型/AV OPEN 2015 少女部门.txt
类型	AV OPEN 2015 恋物部门	16	按分类/类型/AV OPEN 2015 恋物部门.txt
类型	AV OPEN 2015 熟女部门	16	按分类/类型/AV OPEN 2015 熟女部门.txt
类型	AV OPEN 2015 素人部门	10	按分类/类型/AV OPEN 2015 素人部门.txt
类型	AV OPEN 2016 企划部门	12	按分类/类型/AV OPEN 2016 企划部门.txt
类型	AV OPEN 2016 女优部门	10	按分类/类型/AV OPEN 2016 女优部门.txt
类型	AV OPEN 2016 恋物部门	14	按分类/类型/AV OPEN 2016 恋物部门.txt
类型	AV OPEN 2016 戏剧部门	13	按分类/类型/AV OPEN 2016 戏剧部门.txt
类型	AV OPEN 2016 熟女部门	11	按分类/类型/AV OPEN 2016 熟女部门.txt
类型	AV OPEN 2016 素人部门	13	按分类/类型/AV OPEN 2016 素人部门.txt
类型	AV OPEN 2016 综艺部门	8	按分类/类型/AV OPEN 2016 综艺部门.txt
类型	AV OPEN 2016 重口味部门	11	按分类/类型/AV OPEN 2016 重口味部门.txt
类型	AV OPEN 2017 企划部门	14	按分类/类型/AV OPEN 2017 企划部门.txt
类型	AV OPEN 2017 女优部门	1	按分类/类型/AV OPEN 2017 女优部门.txt
类型	AV OPEN 2017 少女部门	13	按分类/类型/AV OPEN 2017 少女部门.txt
类型	AV OPEN 2017 恋物部门	11	按分类/类型/AV OPEN 2017 恋物部门.txt
类型	AV OPEN 2017 戏剧部门	8	按分类/类型/AV OPEN 2017 戏剧部门.txt
类型	AV OPEN 2017 熟女部门	13	按分类/类型/AV OPEN 2017 熟女部门.txt
类型	AV OPEN 2017 狂热部门	13	按分类/类型/AV OPEN 2017 狂热部门.txt
类型	AV OPEN 2017 素人部门	14	按分类/类型/AV OPEN 2017 素人部门.txt
类型	AV OPEN 2017 纪录片部门	11	按分类/类型/AV OPEN 2017 纪录片部门.txt
类型	AV OPEN 2017 重口味部门	5	按分类/类型/AV OPEN 2017 重口味部门.txt
类型	AV OPEN 2018 企划部门	6	按分类/类型/AV OPEN 2018 企划部门.txt
类型	AV OPEN 2018 少女部门	1	按分类/类型/AV OPEN 2018 少女部门.txt
类型	AV OPEN 2018 恋物部门	8	按分类/类型/AV OPEN 2018 恋物部门.txt
类型	AV OPEN 2018 熟女部门	8	按分类/类型/AV OPEN 2018 熟女部门.txt
类型	AV OPEN 2018 素人部门	6	按分类/类型/AV OPEN 2018 素人部门.txt
类型	AV OPEN 2018 重口味部门	2	按分类/类型/AV OPEN 2018 重口味部门.txt
类型	AV女演员	155	按分类/类型/AV女演员.txt
类型	BL	9	按分类/类型/BL.txt
类型	C罩杯	1	按分类/类型/C罩杯.txt
类型	D罩杯	100	按分类/类型/D罩杯.txt
类型	E杯	166	按分类/类型/E杯.txt
类型	E罩杯以上的Judai（青少年）	54	按分类/类型/E罩杯以上的Judai（青少年）.txt
类型	FANZA配信限定	365	按分类/类型/FANZA配信限定.txt
类型	FC2付费视频	1	按分类/类型/FC2付费视频.txt
类型	F罩杯	173	按分类/类型/F罩杯.txt
类型	G罩杯	257	按分类/类型/G罩杯.txt
类型	How To	258	按分类/类型/How To.txt
类型	H罩杯	83	按分类/类型/H罩杯.txt
类型	J杯	5	按分类/类型/J杯.txt
类型	K杯	2	按分类/类型/K杯.txt
类型	L** / 孩子气的外表	2	按分类/类型/L_ _ 孩子气的外表.txt
类型	Lolita	705	按分类/类型/Lolita.txt
类型	M	2	按分类/类型/M.txt
类型	M 腿	1	按分类/类型/M 腿.txt
类型	M_是	3	按分类/类型/M_是.txt
类型	Mousefuck	1	按分类/类型/Mousefuck.txt
类型	M型腿部伸展	1	按分类/类型/M型腿部伸展.txt
类型	M女	689	按分类/类型/M女.txt
类型	M女人	2	按分类/类型/M女人.txt
类型	M男	665	按分类/类型/M男.txt
类型	NTR	6447	按分类/类型/NTR.txt
类型	OL	6365	按分类/类型/OL.txt
类型	PICKUP 业馀爱好者	29	按分类/类型/PICKUP 业馀爱好者.txt
类型	Prestige 20 周年特别项目	8	按分类/类型/Prestige 20 周年特别项目.txt
类型	Prestige 40% 折扣促销	33	按分类/类型/Prestige 40% 折扣促销.txt
类型	SF	72	按分类/类型/SF.txt
类型	SM	6127	按分类/类型/SM.txt
类型	SOD 30周年庆典，全场4折！	1	按分类/类型/SOD 30周年庆典，全场4折！.txt
类型	SS级	1	按分类/类型/SS级.txt
类型	S级	2	按分类/类型/S级.txt
类型	VR	1421	按分类/类型/VR.txt
类型	Yariman Gal 婊子！	5	按分类/类型/Yariman Gal 婊子！.txt
类型	hmp40折优惠	2	按分类/类型/hmp40折优惠.txt
类型	一件	1	按分类/类型/一件.txt
类型	一位妻子	1	按分类/类型/一位妻子.txt
类型	一半	3	按分类/类型/一半.txt
类型	一半在外面，一半在里面	8	按分类/类型/一半在外面，一半在里面.txt
类型	一天的拍摄	8	按分类/类型/一天的拍摄.txt
类型	一套10个	1	按分类/类型/一套10个.txt
类型	一起	1	按分类/类型/一起.txt
类型	三十	696	按分类/类型/三十.txt
类型	三十岁	12	按分类/类型/三十岁.txt
类型	三温暖	1	按分类/类型/三温暖.txt
类型	上流社会的美女	1	按分类/类型/上流社会的美女.txt
类型	下一阶段	1	按分类/类型/下一阶段.txt
类型	下属或同事	670	按分类/类型/下属或同事.txt
类型	不伦	6648	按分类/类型/不伦.txt
类型	不动点	1	按分类/类型/不动点.txt
类型	不可避免的	1	按分类/类型/不可避免的.txt
类型	不情愿	1	按分类/类型/不情愿.txt
类型	不戴胸围	573	按分类/类型/不戴胸围.txt
类型	不洁	4	按分类/类型/不洁.txt
类型	不穿内裤	192	按分类/类型/不穿内裤.txt
类型	不要戴保险套	464	按分类/类型/不要戴保险套.txt
类型	不道德	2	按分类/类型/不道德.txt
类型	与父母同住	1	按分类/类型/与父母同住.txt
类型	专业品质	1	按分类/类型/专业品质.txt
类型	业馀搭讪	1	按分类/类型/业馀搭讪.txt
类型	丝袜	7705	按分类/类型/丝袜.txt
类型	两次射精	1	按分类/类型/两次射精.txt
类型	两次连续射精	3	按分类/类型/两次连续射精.txt
类型	严肃的	2	按分类/类型/严肃的.txt
类型	个人电脑	1	按分类/类型/个人电脑.txt
类型	中出	6969	按分类/类型/中出.txt
类型	中长发	72	按分类/类型/中长发.txt
类型	丰满的身体	1	按分类/类型/丰满的身体.txt
类型	串烧	2	按分类/类型/串烧.txt
类型	为了事业而结婚	1	按分类/类型/为了事业而结婚.txt
类型	主观性	5	按分类/类型/主观性.txt
类型	主观视角	6510	按分类/类型/主观视角.txt
类型	主观视角相机	1	按分类/类型/主观视角相机.txt
类型	主题	11	按分类/类型/主题.txt
类型	义母	675	按分类/类型/义母.txt
类型	乌贼	8	按分类/类型/乌贼.txt
类型	乌龟	2	按分类/类型/乌龟.txt
类型	乐团	1	按分类/类型/乐团.txt
类型	乱交	717	按分类/类型/乱交.txt
类型	乱伦	7744	按分类/类型/乱伦.txt
类型	乳交	5633	按分类/类型/乳交.txt
类型	乳头	5	按分类/类型/乳头.txt
类型	乳头游戏	1	按分类/类型/乳头游戏.txt
类型	乳头酷刑	1	按分类/类型/乳头酷刑.txt
类型	乳房下垂	1	按分类/类型/乳房下垂.txt
类型	乳房按摩	2	按分类/类型/乳房按摩.txt
类型	乳液 / 精油	18	按分类/类型/乳液 _ 精油.txt
类型	事件	23	按分类/类型/事件.txt
类型	事务	35	按分类/类型/事务.txt
类型	互相手淫	1	按分类/类型/互相手淫.txt
类型	五十	142	按分类/类型/五十.txt
类型	亚洲女优	412	按分类/类型/亚洲女优.txt
类型	交叉腿	1	按分类/类型/交叉腿.txt
类型	人偶	102	按分类/类型/人偶.txt
类型	人妻	5914	按分类/类型/人妻.txt
类型	仅送货	6264	按分类/类型/仅送货.txt
类型	仅限今天	1	按分类/类型/仅限今天.txt
类型	仅限分发	501	按分类/类型/仅限分发.txt
类型	仅限运送	4	按分类/类型/仅限运送.txt
类型	仅限送货	364	按分类/类型/仅限送货.txt
类型	企划	6854	按分类/类型/企划.txt
类型	伊拉马基奥	36	按分类/类型/伊拉马基奥.txt
类型	休息室女郎	1	按分类/类型/休息室女郎.txt
